pokemon_id,pokemon_name_en,pokemon_name_es,form_name_en,form_name_es,move_key,name_en,name_es,is_in_move_pool,is_observed_in_sets
3,Venusaur,Venusaur,,,acid_spray,Acid Spray,Bomba Ácida,1,0
3,Venusaur,Venusaur,,,amnesia,Amnesia,Amnesia,1,0
3,Venusaur,Venusaur,,,body_slam,Body Slam,Golpe Cuerpo,1,0
3,Venusaur,Venusaur,,,bulldoze,Bulldoze,Terratemblor,1,0
3,Venusaur,Venusaur,,,bullet_seed,Bullet Seed,Semilladora,1,0
3,Venusaur,Venusaur,,,charm,Charm,Encanto,1,0
3,Venusaur,Venusaur,,,curse,Curse,Maldición,1,0
3,Venusaur,Venusaur,,,double_edge,Double-Edge,Doble Filo,1,0
3,Venusaur,Venusaur,,,earth_power,Earth Power,Tierra Viva,1,1
3,Venusaur,Venusaur,,,earthquake,Earthquake,Terremoto,1,0
3,Venusaur,Venusaur,,,endure,Endure,Aguante,1,0
3,Venusaur,Venusaur,,,energy_ball,Energy Ball,Energibola,1,0
3,Venusaur,Venusaur,,,facade,Facade,Imagen,1,0
3,Venusaur,Venusaur,,,frenzy_plant,Frenzy Plant,Planta Feroz,1,0
3,Venusaur,Venusaur,,,giga_drain,Giga Drain,Gigadrenado,1,1
3,Venusaur,Venusaur,,,giga_impact,Giga Impact,Gigaimpacto,1,0
3,Venusaur,Venusaur,,,grass_knot,Grass Knot,Hierba Lazo,1,0
3,Venusaur,Venusaur,,,grassy_glide,Grassy Glide,Fitoimpulso,1,0
3,Venusaur,Venusaur,,,grassy_terrain,Grassy Terrain,Campo de Hierba,1,0
3,Venusaur,Venusaur,,,growth,Growth,Desarrollo,1,0
3,Venusaur,Venusaur,,,helping_hand,Helping Hand,Refuerzo,1,0
3,Venusaur,Venusaur,,,hyper_beam,Hyper Beam,Hiperrayo,1,0
3,Venusaur,Venusaur,,,ingrain,Ingrain,Arraigo,1,0
3,Venusaur,Venusaur,,,knock_off,Knock Off,Desarme,1,0
3,Venusaur,Venusaur,,,leaf_storm,Leaf Storm,Lluevehojas,1,1
3,Venusaur,Venusaur,,,leech_seed,Leech Seed,Drenadoras,1,0
3,Venusaur,Venusaur,,,light_screen,Light Screen,Pantalla de Luz,1,0
3,Venusaur,Venusaur,,,outrage,Outrage,Enfado,1,0
